date,return,fund
1401/02/30,17.75,آرمان آتیه درخشان مس
1401/02/26,30.311,آسمان آرمانی سهام
1401/02/26,42.282,آهنگ سهام کیان
1401/02/30,42.92,آوای سهام کیان
1401/02/31,31.46,آوای معیار
1401/02/30,31.87,ارزش آفرین بیدار
1401/02/30,33.84,اعتبار سهام ایرانیان
1401/02/26,27.805,افق ملت
1401/02/30,27.09,امین تدبیرگران فردا
1401/02/30,45.51,اندیشه خبرگان سهام
1401/02/30,35.51,باران کارگزاری بانک کشاورزی
1401/02/26,18.79,بانک توسعه تعاون
1401/02/30,4.68,بانک دی
1401/02/30,31.5,بذر امید آفرین
1401/02/30,103.22,پالایشی یکم
1401/02/26,44.619,تجارت شاخصی کاردان
1401/02/30,45.305,توسعه اندوخته آینده
1401/02/30,28.51,توسعه صادرات
1401/02/30,33.53,ثروت آفرین پارسیان
1401/02/30,18.372626,ثروت آفرین تمدن
1401/02/30,37.23,زرین پارسیان
1401/02/31,49.47,زرین کوروش
1401/02/30,24.74,سپهر اول کارگزاری بانک صادرات
1401/02/30,41.05,سپهر کاریزما
1401/02/31,34.56,سرو سودمند مدبران
1401/02/26,28.486,سهام بزرگ کاردان
1401/02/30,20.19,سهم آشنا
1401/02/26,40.363,شاخص سی شرکت بزرگ فیروزه
1401/02/30,45.51,شاخصی بازار آشنا
1401/02/30,58.83,فراز داریک
1401/02/26,48.845,فیروزه موفقیت
1401/02/28,21.73,کارگزاری پارسیان
1401/02/26,25.967,گنجینه رفاه
1401/02/26,32.487,مدیریت ثروت صندوق بازنشستگی کشوری
1401/02/26,42.918,مشترک آسمان یکم
1401/02/30,40.18,مشترک آگاه
1401/02/28,32.2,مشترک ارزش کاوان آینده
1401/02/30,12.77,مشترک افق
1401/02/30,28.65,مشترک افق روشن کارگزاری بانک خاورمیانه
1401/02/30,39.336,مشترک امید توسعه
1401/02/26,23.62,مشترک امین آوید
1401/02/26,19.599,مشترک ایساتیس پویای یزد
1401/02/26,5.815,مشترک بانک اقتصاد نوین
1401/02/30,33.36,مشترک بانک خاورمیانه
1401/02/30,19.54,مشترک بورسیران
1401/02/30,34.81,مشترک پویا
1401/02/30,60.54,مشترک پیشتاز
1401/02/30,40.398,مشترک پیشرو
1401/02/30,37.24,مشترک تدبیرگران فردا
1401/02/30,30.98,مشترک توسعه ملی
1401/02/05,25.7,مشترک دماسنج
1401/02/30,32.47,مشترک ذوب آهن نو ویرا
1401/02/30,22.11,مشترک رشد سامان
1401/02/26,33.288,مشترک سبحان
1401/02/30,48.01,مشترک سینا
1401/02/30,45.72,مشترک شاخصی کار آفرین
1401/02/26,36.758,مشترک صبا
1401/02/30,36.29,مشترک عقیق
1401/02/30,25.82,مشترک کارگزاری بانک ملی ایران
1401/02/30,34.42,مشترک کارگزاری حافظ
1401/02/30,35.18,مشترک کاریزما
1401/02/26,69.999,مشترک گنجینه ارمغان الماس
1401/02/30,29.95,مشترک مانا الگوریتم
1401/02/26,40.126,مشترک مبین سرمایه
1401/02/30,36.81,مشترک میعاد ایرانیان
1401/02/30,31.71,مشترک نقش جهان
1401/02/30,-4.26,مشترک نو اندیشان
1401/02/26,31.464,مشترک نویدانصار
1401/02/30,22.21,مشترک نوین پایدار
1401/02/26,52.46,مشترک نیکوکاری ندای امید
1401/02/26,45.69,مشترک یکم آبان
1401/02/30,30.97,مشترک یکم اکسیر فارابی
1401/02/30,46.06,مشترک یکم سامان
1401/02/30,38.64,هستی بخش آگاه
1401/02/30,47.63,همیان سپهر
1401/02/30,-7.53,واسطه گری مالی یکم